,date,count,platform
235,2020-09-08,32,1
236,2020-09-09,35,1
237,2020-09-10,67,1
238,2020-09-11,78,1
239,2020-09-12,60,1
240,2020-09-13,71,1
241,2020-09-14,50,1
242,2020-09-15,30,1
243,2020-09-16,31,1
244,2020-09-17,62,1
245,2020-09-18,79,1
246,2020-09-19,61,1
247,2020-09-20,75,1
248,2020-09-21,47,1
249,2020-09-22,32,1
250,2020-09-23,32,1
251,2020-09-24,67,1
252,2020-09-25,80,1
253,2020-09-26,63,1
254,2020-09-27,77,1
255,2020-09-28,56,1
256,2020-09-29,34,1
257,2020-09-30,39,1
258,2020-10-01,59,1
259,2020-10-02,48,1
260,2020-10-03,33,1
261,2020-10-04,21,1
262,2020-10-05,35,1
263,2020-10-06,31,1
264,2020-10-07,31,1
265,2020-10-08,40,1
266,2020-10-09,46,1
267,2020-10-10,37,1
268,2020-10-11,21,1
269,2020-10-12,39,1
270,2020-10-13,24,1
271,2020-10-14,36,1
272,2020-10-15,44,1
273,2020-10-16,51,1
274,2020-10-17,38,1
275,2020-10-18,24,1
276,2020-10-19,41,1
277,2020-10-20,28,1
278,2020-10-21,34,1
279,2020-10-22,45,1
280,2020-10-23,54,1
281,2020-10-24,40,1
282,2020-10-25,23,1
283,2020-10-26,43,1
284,2020-10-27,29,1
285,2020-10-28,35,1
286,2020-10-29,40,1
287,2020-10-30,55,1
288,2020-10-31,36,1
289,2020-11-01,22,1
290,2020-11-02,43,1
291,2020-11-03,34,1
292,2020-11-04,37,1
293,2020-11-05,44,1
294,2020-11-06,48,1
295,2020-11-07,30,1
296,2020-11-08,31,1
297,2020-11-09,43,1
298,2020-11-10,37,1
299,2020-11-11,42,1
300,2020-11-12,41,1
301,2020-11-13,52,1
302,2020-11-14,29,1
303,2020-11-15,32,1
304,2020-11-16,45,1
305,2020-11-17,39,1
306,2020-11-18,46,1
307,2020-11-19,46,1
308,2020-11-20,49,1
309,2020-11-21,32,1
310,2020-11-22,36,1
311,2020-11-23,53,1
312,2020-11-24,40,1
313,2020-11-25,49,1
314,2020-11-26,41,1
315,2020-11-27,50,1
316,2020-11-28,30,1
317,2020-11-29,30,1
318,2020-11-30,41,1
319,2020-12-01,35,1
320,2020-12-02,42,1
321,2020-12-03,36,1
322,2020-12-04,53,1
323,2020-12-05,35,1
324,2020-12-06,29,1
325,2020-12-07,36,1
326,2020-12-08,35,1
327,2020-12-09,44,1
328,2020-12-10,38,1
329,2020-12-11,53,1
330,2020-12-12,38,1
331,2020-12-13,29,1
332,2020-12-14,37,1
333,2020-12-15,38,1
334,2020-12-16,46,1
335,2020-12-17,36,1
336,2020-12-18,51,1
337,2020-12-19,36,1
338,2020-12-20,34,1
339,2020-12-21,40,1
340,2020-12-22,37,1
341,2020-12-23,46,1
342,2020-12-24,38,1
343,2020-12-25,56,1
344,2020-12-26,35,1
345,2020-12-27,30,1
346,2020-12-28,48,1
347,2020-12-29,41,1
348,2020-12-30,51,1
349,2020-12-31,23,1
350,2021-01-01,17,1
351,2021-01-02,32,1
352,2021-01-03,23,1
353,2021-01-04,36,1
354,2021-01-05,27,1
355,2021-01-06,29,1
356,2021-01-07,23,1
357,2021-01-08,43,1
358,2021-01-09,40,1
359,2021-01-10,23,1
360,2021-01-11,39,1
361,2021-01-12,31,1
362,2021-01-13,39,1
363,2021-01-14,31,1
364,2021-01-15,55,1
365,2021-01-16,39,1
366,2021-01-17,23,1
367,2021-01-18,41,1
368,2021-01-19,35,1
369,2021-01-20,34,1
370,2021-01-21,36,1
371,2021-01-22,49,1
372,2021-01-23,39,1
373,2021-01-24,25,1
374,2021-01-25,44,1
375,2021-01-26,30,1
376,2021-01-27,38,1
377,2021-01-28,31,1
378,2021-01-29,46,1
379,2021-01-30,44,1
380,2021-01-31,13,1
381,2021-02-01,31,1
382,2021-02-02,41,1
383,2021-02-03,36,1
384,2021-02-04,35,1
385,2021-02-05,47,1
386,2021-02-06,37,1
387,2021-02-07,21,1
388,2021-02-08,36,1
389,2021-02-09,40,1
390,2021-02-10,40,1
391,2021-02-11,40,1
392,2021-02-12,44,1
393,2021-02-13,39,1
394,2021-02-14,26,1
395,2021-02-15,34,1
396,2021-02-16,41,1
397,2021-02-17,37,1
398,2021-02-18,37,1
399,2021-02-19,45,1
400,2021-02-20,43,1
401,2021-02-21,20,1
402,2021-02-22,40,1
403,2021-02-23,38,1
404,2021-02-24,43,1
405,2021-02-25,40,1
406,2021-02-26,45,1
407,2021-02-27,35,1
408,2021-02-28,24,1
409,2021-03-01,35,1
410,2021-03-02,36,1
411,2021-03-03,40,1
412,2021-03-04,30,1
413,2021-03-05,45,1
414,2021-03-06,34,1
415,2021-03-07,17,1
416,2021-03-08,37,1
417,2021-03-09,35,1
418,2021-03-10,36,1
419,2021-03-11,34,1
420,2021-03-12,43,1
421,2021-03-13,36,1
422,2021-03-14,13,1
423,2021-03-15,39,1
424,2021-03-16,27,1
425,2021-03-17,41,1
426,2021-03-18,32,1
427,2021-03-19,47,1
428,2021-03-20,32,1
429,2021-03-21,17,1
